,result_id,target,result,operator,value,unit,compound,compound_id,smiles,molecular_weight,a_log_p,molecular_formula,num_rings,image
0,8055999,Bromodomain-containing protein 4,Kd,=,2460.0,nM,27648,27648,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,308.76492,3.513,C17H13ClN4,4,images/27648.png
1,8046398,Bromodomain-containing protein 2,Kd,=,61.3,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
2,8046399,Bromodomain-containing protein 3,Kd,=,50.5,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
3,8046400,Bromodomain-containing protein 4,Kd,=,55.2,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
4,8046401,Bromodomain-containing protein 2,IC50,=,32.5,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
5,8046402,Bromodomain-containing protein 3,IC50,=,42.4,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
6,8046403,Bromodomain-containing protein 4,IC50,=,36.1,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
7,12161625,Bromodomain-containing protein 4,Kd,=,49.0,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
8,12161627,Bromodomain-containing protein 3,Kd,=,89.0,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
9,12161629,Bromodomain-containing protein 2,Kd,=,101.0,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
10,12161672,Bromodomain-containing protein 4,IC50,=,190.0,nM,694811,694811,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,423.89538,3.288,C22H22ClN5O2,4,images/694811.png
